SEQ, 언어코드, 태그명, 정렬순서, 등록일시 
28281,kr,걷기/등산,2,19/12/06
28282,kr,경관/포토,3,19/12/06
28280,kr,액티비티,1,19/12/06
28283,kr,커플,4,19/12/06
28284,kr,휴식/힐링,5,19/12/06
28285,kr,아이,6,19/12/06
28286,kr,친구,7,19/12/06
28287,kr,가을,8,19/12/06
28288,kr,맑음,9,19/12/06
28289,kr,밤,10,19/12/06
28290,en,Sunny,1,19/12/06
28291,en,Friends,2,19/12/06
28292,en,Activities,3,19/12/06
28293,en,On Foot,4,19/12/06
28294,en,Couples,5,19/12/06
28295,en,Children,6,19/12/06
28296,en,Sunset,7,19/12/06
28297,en,Seaside,8,19/12/06
28298,en,Overcast,9,19/12/06
28299,en, delicious,10,19/12/06
28300,cn,偶来小路,1,19/12/06
28301,cn,海边,2,19/12/06
28302,cn,徒步/登山,3,19/12/06
28303,cn,多云,4,19/12/06
28304,cn,健康/疗愈,5,19/12/06
28305,cn,绿茶,6,19/12/06
28306,cn,海水浴场,7,19/12/06
28307,cn,日落,8,19/12/06
28308,cn,小火山,9,19/12/06
28309,cn,鲍鱼,10,19/12/06
28310,jp,親,1,19/12/06
28311,jp,カップル,2,19/12/06
28312,jp,夏,3,19/12/06
28313,jp,曇り,4,19/12/06
28314,jp,活動,5,19/12/06
28315,jp,友達,6,19/12/06
28316,jp, 海,7,19/12/06
28317,jp,壁画,8,19/12/06
28318,jp,景観/フォト,9,19/12/06
28319,jp,キャンプ,10,19/12/06
28320,zh,小火山,1,19/12/06
28321,zh,紀念品,2,19/12/06
28322,zh,朋友,3,19/12/06
28323,zh,健康/療愈,4,19/12/06
28324,zh,父母,5,19/12/06
28325,zh,多雲,6,19/12/06
28326,zh, 航空宇宙博物館,7,19/12/06
28327,zh,秋天,8,19/12/06
28328,zh,鮑魚,9,19/12/06
28329,zh,濟州牧官衙,10,19/12/06
28330,my,Sunrise,1,19/12/06
28331,my,Volcanic Cones,2,19/12/06
28332,my,Seaside,3,19/12/06
28333,my, hiking,4,19/12/06
28334,my,Experience,5,19/12/06
28335,my,10 Top Travel Spots,6,19/12/06
28336,my,Landscapes,7,19/12/06
28337,my, Indoors,8,19/12/06
28338,my,Udo,9,19/12/06
28339,my, Eco-party,10,19/12/06
